,date,home_team,away_team,home_score,away_score,tournament,city,country,score_sum,score_diff
185,2008-11-19,Moldova,Lithuania,1,1,Friendly,Tallinn,Estonia,2,0
186,2008-11-22,Estonia,Lithuania,1,1,Friendly,Kuressaare,Estonia,2,0
187,2009-02-07,Lithuania,Poland,1,1,Friendly,Faro,Portugal,2,0
188,2009-02-11,Andorra,Lithuania,1,3,Friendly,Albufeira,Portugal,4,-2
189,2009-03-28,Lithuania,France,0,1,FIFA World Cup qualification,Kaunas,Lithuania,1,-1
190,2009-04-01,France,Lithuania,1,0,FIFA World Cup qualification,Saint-Denis,France,1,1
191,2009-06-06,Lithuania,Romania,0,1,FIFA World Cup qualification,Marijampol?,Lithuania,1,-1
192,2009-08-12,Luxembourg,Lithuania,0,1,Friendly,Luxembourg,Luxembourg,1,-1
193,2009-09-09,Faroe Islands,Lithuania,2,1,FIFA World Cup qualification,Toftir,Faroe Islands,3,1
194,2009-10-10,Austria,Lithuania,2,1,FIFA World Cup qualification,Innsbruck,Austria,3,1
195,2009-10-14,Lithuania,Serbia,2,1,FIFA World Cup qualification,Marijampol?,Lithuania,3,1
196,2010-05-25,Ukraine,Lithuania,4,0,Friendly,Kharkiv,Ukraine,4,4
197,2010-06-18,Lithuania,Latvia,0,0,Baltic Cup,Kaunas,Lithuania,0,0
198,2010-06-20,Lithuania,Estonia,2,0,Baltic Cup,Kaunas,Lithuania,2,2
199,2010-08-11,Lithuania,Belarus,0,2,Friendly,Kaunas,Lithuania,2,-2
200,2010-09-03,Lithuania,Scotland,0,0,UEFA Euro qualification,Kaunas,Lithuania,0,0
201,2010-09-07,Czech Republic,Lithuania,0,1,UEFA Euro qualification,Olomouc,Czech Republic,1,-1
202,2010-10-08,Spain,Lithuania,3,1,UEFA Euro qualification,Salamanca,Spain,4,2
203,2010-11-17,Hungary,Lithuania,2,0,Friendly,Sz�kesfeh�rv�r,Hungary,2,2
204,2010-11-17,Hungary,Lithuania,2,0,Friendly,Sz�kesfeh�rv�r,Hungary,2,2
205,2011-03-25,Lithuania,Poland,2,0,Friendly,Kaunas,Lithuania,2,2
206,2011-03-25,Lithuania,Poland,2,0,Friendly,Kaunas,Lithuania,2,2
207,2011-03-29,Lithuania,Spain,1,3,UEFA Euro qualification,Kaunas,Lithuania,4,-2
208,2011-03-29,Lithuania,Spain,1,3,UEFA Euro qualification,Kaunas,Lithuania,4,-2
209,2011-06-03,Liechtenstein,Lithuania,2,0,UEFA Euro qualification,Vaduz,Liechtenstein,2,2
210,2011-06-03,Liechtenstein,Lithuania,2,0,UEFA Euro qualification,Vaduz,Liechtenstein,2,2
211,2011-06-07,Norway,Lithuania,1,0,Friendly,Oslo,Norway,1,1
